time_s,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5
0.0,0.012301533574825742,6.793196861525937,-1.7675758725107007,8.203287200620817,-5.200140369288123,23.731814904481134
0.002,2.987455375084699,-8.130548692188132,-4.061219260433539,9.568888102870943,13.27786893127383,3.6887715722078838
0.004,-2.7413785536221758,4.436156459738426,-2.587173367632354,-4.226823492369989,-6.157501012886143,6.632222214397483
0.006,-8.905918387572742,-6.297675029983459,-7.7096526781731995,-4.158230299538872,-17.97194103535681,-2.976178911703007
0.008,-4.546707851717225,4.356951030628735,1.2840878712451784,-12.38957679084534,2.2789480995010627,6.491589214402403
0.01,-9.916465549964624,-11.600386606579548,-10.931138508344592,-4.828313167413508,-6.327376907793965,-3.3176457531238994
0.012,0.6014360259743848,12.391698968941437,-0.9682602300739617,-1.7524331816362737,-3.308018790981029,-7.31873474332356
0.014,13.402152455545336,3.0810219840331947,0.01278743865768394,-7.530823805471463,4.011521847772575,-18.004855880200147
0.016,-4.922065185513296,-3.9158288163402166,-2.647978784293964,-11.612442784099915,15.087053043909695,8.121987524477468
0.018,-6.204748998199404,-14.655387011322336,11.996947717398484,-22.54874051427203,17.43526063551407,12.533712387290539
0.02,4.898420501851982,1.7616301317405711,-1.7256398950800367,-5.5121611544822375,-10.763800706559481,-10.250780947853444
0.022,3.5688700816006076,-6.309432898993049,-5.611310037400305,0.4672319088030544,0.39387405514292895,5.125801784708166
0.024,1.0541424899789855,1.464770482327842,21.561257972701537,15.768050549498355,21.69429502739373,-3.0021809199059044
0.026,-9.304680447082047,-8.169453595389138,14.49854013337362,-9.759745331208286,-11.003416407759637,-5.8058834354579005
0.028,-0.2925182246327349,-6.472154473828651,5.861418626949167,-14.245188194229712,-8.14810443027888,13.91158223795329
0.03,6.953031944582878,5.170341485035714,-2.7253638281567456,-1.0596876614975244,-13.859312761059385,6.507114463759293
0.032,-13.44214547285082,13.743166040544882,15.417578170713861,-0.7780214857876981,-2.419449557148337,4.3657254417313105
0.034,-4.5761576104021815,-13.685706125274654,3.4408496561075834,14.593052597382371,-11.229504446654506,-13.340692015932735
0.036,-19.01222739800844,-2.9827570494935647,-1.3585086866592535,10.079812408813813,-7.744893369106638,10.309748187762827
0.038,-12.89537739784976,2.8675827447345865,-1.274763404947297,2.552671740703947,-15.100128737413021,-13.199832064587975
0.04,-18.417350377917323,-2.572035214435849,9.44708365229307,3.0469633843766806,10.040267496889301,6.054075668029794
0.042,-2.3509113107468127,-5.4255382370838126,3.1049143402820634,-0.05534526250820709,-1.501779843627042,10.562896375158175
0.044,-12.674464814437032,20.611961193813563,-5.912500084475065,6.157623479138861,9.70191610523344,12.617967659632694
