time_s,emg_0,emg_1
0.0,-17.92147952433468,-44.33561763096433
0.001,101.28490888511799,-34.71009552548773
0.002,-5.667839516128618,-35.923938266733366
0.003,-5.969410051023696,54.00111621094737
0.004,-29.447519731545864,23.220768191748334
0.005,-87.82253115581457,5.542854989024583
0.006,-98.63603353148909,37.120108188226936
0.007,-23.32973766964436,-65.92697569496558
0.008,37.365194423605814,33.91108145023606
0.009,-25.20781634718354,-24.49848305331661
0.01,6.8745296872533155,-19.87058286022237
0.011,-15.100434898053855,-37.72213870739557
0.012,3.8227166905981007,-76.74329797013806
0.013,7.816931415148173,81.31815349143369
0.014,-18.468073382088047,-17.38938811752697
0.015,-92.44588449687704,-89.52107517887833
0.016,-9.923336979635577,-26.007933708823195
0.017,-38.1705878674742,-41.56185963494768
0.018,-34.89570833355612,-48.57825523343404
0.019,-47.81792385554608,-55.691948768729084
0.02,42.95890603954208,22.180216795787004
0.021,81.69302813160994,-16.34088876843758
0.022,-108.08725283500127,59.93592787301948
0.023,-1.0857874845284508,-21.739197676414346
0.024,84.38965558826015,63.6888288914335
0.025,-50.23154570916184,-37.166575963959666
0.026,40.08268191935438,7.524727840706349
0.027,15.856596162426536,-56.62010915384137
0.028,-73.78022929353021,53.15704970360755
0.029,-60.77110658294149,21.031516294369123
0.03,-92.66468512747785,-16.14414825067795
0.031,75.56782622477556,24.801710203097702
0.032,-14.989013050100993,-21.509599540166015
0.033,105.6423391225482,50.76654002638994
0.034,47.02450495564736,-19.206552150849102
0.035,117.11748823244793,-10.96291674251483
0.036,-9.952624762368268,25.34242924326667
0.037,33.23229893061068,1.6655211527104359
0.038,-70.7567234454031,-59.16803233448805
0.039,-29.992624465793465,-95.67127648456959
0.04,26.80115024256251,114.38894655502483
0.041,9.45356410674388,76.21899609240785
0.042,15.23516620338048,3.1672550675406432
0.043,-60.015370097246375,52.899786271538595
0.044,61.96120671825971,3.6518982993771236
0.045,43.27382797320612,-83.24218919606129
0.046,102.36656247464724,-31.528806942666517
0.047,49.331830310520964,5.531458010181129
0.048,-22.762329645065076,-74.16991065462196
0.049,-116.67492745114309,-17.26571871132422
0.05,-117.00855198018978,-1.6538944811816017
0.051,-62.54331557395516,-2.6985709217370557
0.052,-22.423221835214406,52.386986224368606
0.053,46.972199329917345,-11.776868049177837
0.054,-25.72571791053947,-37.49908819399649
0.055,-1.0659804879959531,23.0906502199289
0.056,-20.656968973621563,-46.38996747210296
0.057,-31.330952398966616,67.70592265308632
0.058,-7.512297136124725,-98.07100537934507
0.059,-104.635398564953,-49.983317567434526
0.06,-23.52465622650837,-11.24141118219491
0.061,-3.9141958264825973,37.44111062050273
0.062,-16.66151664226127,-14.840596531229805
0.063,32.89536745354623,-49.964287317756366
0.064,87.1669433253714,-25.412663321248207
0.065,-10.770905620811355,14.782558078587577
0.066,37.44545517620401,12.23249603837721
0.067,25.581416758786936,49.39357527011922
0.068,-12.299463555615871,-31.597908745236992
0.069,10.698863808566871,39.12030983863764
0.07,-52.684057137684704,38.07480786236593
0.071,3.416266458720697,-63.49496602005037
0.072,21.066066300677996,58.221430134208106
0.073,47.622600530025224,-2.423901737618757
0.074,-67.1188113233692,20.615615283229836
0.075,-40.7442526360039,16.366440938928005
0.076,91.7678353119405,36.48433113570976
0.077,64.77914358192407,-18.833014197076558
0.078,-32.26626562445685,-76.74834082425154
0.079,75.72521916837165,62.572086424465866
0.08,6.309728479394907,98.55086305964976
0.081,37.79282800604045,-33.77879748204837
0.082,-26.752638947359504,-82.39091718175385
0.083,-60.25807581478364,25.28997732812971
0.084,-9.414962920238876,2.660980179460146
0.085,-17.997425099531085,-13.99454407018738
0.086,27.3621044076394,1.005982637593063
0.087,-82.76115939435,38.157720943090716
0.088,56.98098570994227,-19.681941076893473
0.089,-51.77904241507534,-28.01892324009892
0.09,-66.93388923509609,-84.95805695928662
0.091,7.560387785687353,-43.07286190643021
0.092,51.766566931539536,2.0511439519297827
0.093,-61.51663974987235,24.191528088548107
0.094,-101.95023618126618,28.172187850708518
0.095,13.759550762905354,31.161902214922492
0.096,8.311685108744538,37.953900110545725
0.097,-24.825645701898363,4.600201302501739
0.098,12.799221480934705,4.060367142301445
0.099,-26.601463583043834,15.7947061883464
0.1,3.947174752835181,17.775828519474207
0.101,-75.78716127138996,-50.335966331165224
0.102,-11.248222089965102,-7.933011326412961
0.103,-29.60417497024893,-49.601486527132174
0.104,40.46108271619701,24.22225284710501
0.105,4.2277088240295795,-16.10946867407018
0.106,-30.006214513137756,23.33651649592257
0.107,-96.52541744710139,39.819071052282965
0.108,23.415868964272057,-80.13934737641236
0.109,-30.496551486418554,20.04878421735849
0.11,36.50623832810569,-76.0062258236993
0.111,-29.29987339385845,90.81242484846716
0.112,-88.16289541747321,-9.023726494074447
0.113,-80.83346528101426,-54.44799306013385
0.114,45.895443743741495,-42.187558264902385
0.115,-4.085973906508571,-54.34541901339125
0.116,61.53763994635699,6.921324940707032
0.117,-37.90719292873594,15.329614170385069
0.118,6.126581467841154,30.6662643261768
0.119,78.99563582206541,10.354317439150915
0.12,20.081117649888782,23.354553039546662
0.121,42.58582809523703,-83.99107139316094
0.122,-3.2538962067971355,-19.70228303312637
0.123,-51.15536761965747,-6.475919285034967
0.124,35.042269661421564,-124.9817217670965
0.125,32.2567878615606,-5.88241014151374
0.126,23.6477011563785,-7.4739833831271
0.127,-63.411782355111704,-25.711030536344374
0.128,29.852130472368042,55.88743663546941
0.129,-102.42906986751925,46.01407560590548
0.13,26.977697644210696,-6.723599432815115
0.131,-22.558852212590878,-7.928723503356841
0.132,93.23653323482517,-90.70266067123279
0.133,43.834179135184485,65.37777365739159
0.134,89.40178092636975,-83.87498569552598
0.135,96.86308495943152,5.776042276585821
0.136,-8.660538330225943,-91.27321143159006
0.137,58.011006062263434,-56.2645747377482
0.138,-9.435540421623175,-168.84292089174554
0.139,57.928059639613295,53.71418316925583
0.14,-14.015498069047869,-83.93561860666617
0.141,11.361354278235625,-112.7018165792797
0.142,-12.037931444530637,6.75246678210808
0.143,-48.45662043951796,71.47016610679636
0.144,33.14487930853987,10.87035008496166
0.145,-10.572342567890374,-51.21473700685652
0.146,103.29641650122758,-25.1491558836853
0.147,18.762089641304797,3.538978558706972
0.148,-7.2010756733700765,14.225807038955038
0.149,26.750142042925145,-62.30999387715921
0.15,-0.9307448405831996,-29.885296544482348
0.151,-45.803746502691084,12.880526696940207
0.152,49.563688004572775,-11.373259448403717
0.153,-80.74178571750393,-3.2228133808680495
0.154,-42.07735052368354,57.11101370005417
0.155,34.495966833548856,-40.99650808246125
0.156,-19.781792933226942,49.54310374814928
0.157,13.566765621646768,52.48952567232246
0.158,5.56727700881512,13.089604524297199
0.159,-3.3642234387017522,5.005550113885831
0.16,16.410255550407083,-9.510492557110528
0.161,-64.56009716737978,13.579373437770556
0.162,-95.62747895133255,-8.052841478479943
0.163,7.281676865500556,20.524823998867095
0.164,-37.53672888780714,-32.049497570647176
0.165,-43.955953918614235,-9.728715641156205
0.166,18.933611419211083,58.42310490349628
0.167,-6.663046282975113,-60.6423355310926
0.168,-88.52620824775886,-48.68284811712602
0.169,22.813647225335785,5.837923697494933
0.17,133.53106469476012,52.582543139215964
